Year,Team,Wins,Losses,Ties,Points For,Points Against,Sos
2016,Arizona Cardinals,7,8,1,418,362,-1.9
2016,Atlanta Falcons,11,5,0,540,406,0.1
2016,Baltimore Ravens,8,8,0,343,321,0.2
2016,Buffalo Bills,7,9,0,399,378,-1.6
2016,Carolina Panthers,6,10,0,369,402,-1
2016,Chicago Bears,3,13,0,279,399,0
2016,Cincinnati Bengals,6,9,1,325,315,0.4
2016,Cleveland Browns,1,15,0,264,452,1.7
2016,Dallas Cowboys,13,3,0,421,306,-0.2
2016,Denver Broncos,9,7,0,333,297,1.8
2016,Detroit Lions,9,7,0,346,358,-0.6
2016,Green Bay Packers,10,6,0,432,388,0.1
2016,Houston Texans,9,7,0,279,328,0.4
2016,Indianapolis Colts,8,8,0,411,392,-0.8
2016,Jacksonville Jaguars,3,13,0,318,400,0.2
2016,Kansas City Chiefs,12,4,0,389,311,0.7
2016,Los Angeles Rams,4,12,0,224,394,-0.5
2016,Miami Dolphins,10,6,0,363,380,-1.3
2016,Minnesota Vikings,8,8,0,327,307,-0.3
2016,New England Patriots,14,2,0,441,250,-2.7
2016,New Orleans Saints,7,9,0,469,454,0.6
2016,New York Giants,11,5,0,310,284,0.5
2016,New York Jets,5,11,0,275,409,-0.1
2016,Oakland Raiders,12,4,0,416,385,1.3
2016,Philadelphia Eagles,7,9,0,367,331,1.6
2016,Pittsburgh Steelers,11,5,0,399,327,0.2
2016,San Diego Chargers,5,11,0,410,423,0.9
2016,San Francisco 49ers,2,14,0,309,480,-0.5
2016,Seattle Seahawks,10,5,1,354,292,-1.7
2016,Tampa Bay Buccaneers,9,7,0,354,369,0.7
2016,Tennessee Titans,9,7,0,381,378,-1.2
2016,Washington Redskins,8,7,1,396,383,1.2
2015,Arizona Cardinals,13,3,0,489,313,1.3
2015,Atlanta Falcons,8,8,0,339,345,-3.4
2015,Baltimore Ravens,5,11,0,328,401,2.60
2015,Buffalo Bills,8,8,0,379,359,-1.2
2015,Carolina Panthers,15,1,0,500,308,-3.9
2015,Chicago Bears,6,10,0,335,397,2.6
2015,Cincinnati Bengals,12,4,0,419,279,1.9
2015,Cleveland Browns,3,13,0,278,432,3.5
2015,Dallas Cowboys,4,12,0,275,374,-0.7
2015,Denver Broncos,12,4,0,355,296,2.1
2015,Detroit Lions,7,9,0,358,440,2.4
2015,Green Bay Packers,10,6,0,368,323,2.5
2015,Houston Texans,9,7,0,339,313,-2.4
2015,Indianapolis Colts,8,8,0,333,408,-2
2015,Jacksonville Jaguars,5,11,0,376,448,-3
2015,Kansas City Chiefs,11,5,0,405,287,1.6
2015,Miami Dolphins,6,10,0,310,389,-1.9
2015,Minnesota Vikings,11,5,0,365,302,1.9
2015,New England Patriots,12,4,0,465,315,-2.4
2015,New Orleans Saints,7,9,0,408,476,-2.3
2015,New York Giants,6,10,0,420,442,-2.2
2015,New York Jets,10,6,0,387,314,-3
2015,Oakland Raiders,7,9,0,359,399,2.3
2015,Philadelphia Eagles,7,9,0,377,430,-1.3
2015,Pittsburgh Steelers,10,6,0,423,319,2.2
2015,San Diego Chargers,4,12,0,320,398,2.2
2015,San Francisco 49ers,5,11,0,238,387,3.8
2015,Seattle Seahawks,10,6,0,423,277,2.2
2015,St. Louis Rams,7,9,0,280,330,3
2015,Tampa Bay Buccaneers,6,10,0,342,417,-3
2015,Tennessee Titans,3,13,0,299,423,-2.8
2015,Washington Redskins,9,7,0,388,379,-2.5
2014,Arizona Cardinals,11,5,0,310,299,1.3
2014,Atlanta Falcons,6,10,0,381,417,-1.6
2014,Baltimore Ravens,10,6,0,409,302,-2.1
2014,Buffalo Bills,9,7,0,343,289,1.6
2014,Carolina Panthers,7,8,1,339,374,-0.9
2014,Chicago Bears,5,11,0,319,442,1
2014,Cincinnati Bengals,10,5,1,365,344,-0.6
2014,Cleveland Browns,7,9,0,299,337,-1.5
2014,Dallas Cowboys,12,4,0,467,352,-1.8
2014,Denver Broncos,12,4,0,482,354,1.6
2014,Detroit Lions,11,5,0,321,282,-0.4
2014,Green Bay Packers,12,4,0,486,348,-0.3
2014,Houston Texans,9,7,0,372,307,-2.3
2014,Indianapolis Colts,11,5,0,458,369,-1.1
2014,Jacksonville Jaguars,3,13,0,249,412,-163
2014,Kansas City Chiefs,9,7,0,353,281,1.1
2014,Miami Dolphins,8,8,0,388,373,1.6
2014,Minnesota Vikings,7,9,0,325,343,-0.5
2014,New England Patriots,12,4,0,468,313,1.3
2014,New Orleans Saints,7,9,0,401,424,-1.5
2014,New York Giants,6,10,0,389,400,-0.4
2014,New York Jets,4,12,0,283,401,2.3
2014,Oakland Raiders,3,13,0,253,452,3.4
2014,Philadelphia Eagles,10,6,0,474,400,-0.7
2014,Pittsburgh Steelers,11,5,0,436,368,-2
2014,San Diego Chargers,9,7,0,348,348,1.9
2014,San Francisco 49ers,8,8,0,306,340,1.2
2014,Seattle Seahawks,12,4,0,394,254,0.8
2014,St. Louis Rams,6,10,0,324,354,1
