Year,Team,Rank,Position,Players,Cap Dollars,% of Cap
2013,Arizona Cardinals,21,Offense,29,"$50,040,981 ",41.68%
2013,Arizona Cardinals,22,Defense,31,"$46,797,136 ",38.98%
2013,Arizona Cardinals,7,Defensive Line,9,"$21,893,294 ",18.24%
2013,Arizona Cardinals,17,Offensive Line,10,"$19,069,690 ",15.89%
2013,Arizona Cardinals,6,Defensive End,5,"$18,400,294 ",15.33%
2013,Arizona Cardinals,8,Wide Receiver,6,"$15,138,466 ",12.61%
2013,Arizona Cardinals,25,Secondary,12,"$12,966,833 ",10.80%
2013,Arizona Cardinals,24,Linebacker,10,"$11,937,009 ",9.94%
2013,Arizona Cardinals,5,Guard,3,"$10,600,273 ",8.83%
2013,Arizona Cardinals,16,Cornerback,7,"$10,122,018 ",8.43%
2013,Arizona Cardinals,13,Inside Linebacker,4,"$7,202,280 ",6.00%
2013,Arizona Cardinals,23,Quarterback,3,"$6,172,994 ",5.14%
2013,Arizona Cardinals,18,Running Back,5,"$5,306,754 ",4.42%
2013,Arizona Cardinals,23,Outside Linebacker,6,"$4,734,729 ",3.94%
2013,Arizona Cardinals,13,Center,2,"$4,390,000 ",3.66%
2013,Arizona Cardinals,21,Tight End,5,"$4,353,077 ",3.63%
2013,Arizona Cardinals,28,Tackle,5,"$4,079,417 ",3.40%
2013,Arizona Cardinals,21,Defensive Tackle,4,"$3,493,000 ",2.91%
2013,Arizona Cardinals,14,Right Tackle,3,"$3,104,561 ",2.59%
2013,Arizona Cardinals,30,Safety,5,"$2,844,815 ",2.37%
2013,Arizona Cardinals,12,Kicker,1,"$2,050,000 ",1.71%
2013,Arizona Cardinals,16,Free Safety,2,"$1,703,958 ",1.42%
2013,Arizona Cardinals,13,Punter,1,"$1,575,000 ",1.31%
2013,Arizona Cardinals,5,Long Snapper,1,"$1,091,666 ",0.91%
2013,Arizona Cardinals,30,Left Tackle,2,"$974,856 ",0.81%
2013,Arizona Cardinals,31,Strong Safety,1,"$408,366 ",0.34%
2013,Atlanta Falcons,11,Offense,32,"$57,342,033 ",46.92%
2013,Atlanta Falcons,25,Defense,28,"$43,369,609 ",35.49%
2013,Atlanta Falcons,3,Wide Receiver,6,"$17,406,641 ",14.24%
2013,Atlanta Falcons,17,Secondary,11,"$16,532,952 ",13.53%
2013,Atlanta Falcons,25,Offensive Line,12,"$16,278,946 ",13.32%
2013,Atlanta Falcons,16,Linebacker,9,"$15,546,530 ",12.72%
2013,Atlanta Falcons,10,Outside Linebacker,5,"$11,541,684 ",9.44%
2013,Atlanta Falcons,25,Defensive Line,8,"$11,290,127 ",9.24%
2013,Atlanta Falcons,16,Quarterback,2,"$9,899,474 ",8.10%
2013,Atlanta Falcons,19,Cornerback,6,"$9,276,181 ",7.59%
2013,Atlanta Falcons,8,Guard,4,"$9,228,823 ",7.55%
2013,Atlanta Falcons,9,Defensive Tackle,4,"$9,216,224 ",7.54%
2013,Atlanta Falcons,15,Safety,5,"$7,256,771 ",5.94%
2013,Atlanta Falcons,10,Tight End,5,"$6,937,146 ",5.68%
2013,Atlanta Falcons,16,Running Back,5,"$5,945,249 ",4.86%
2013,Atlanta Falcons,21,Tackle,7,"$5,712,266 ",4.67%
2013,Atlanta Falcons,9,Strong Safety,2,"$4,316,474 ",3.53%
2013,Atlanta Falcons,22,Inside Linebacker,4,"$4,004,846 ",3.28%
2013,Atlanta Falcons,19,Left Tackle,2,"$3,119,117 ",2.55%
2013,Atlanta Falcons,8,Kicker,1,"$2,962,500 ",2.42%
2013,Atlanta Falcons,18,Right Tackle,4,"$2,364,620 ",1.93%
2013,Atlanta Falcons,31,Defensive End,4,"$2,073,903 ",1.70%
