Year,Team,Wins,Losses,Ties,Points For,Points Against,Sos,Offense Spending,Defensive Line Spending,Secondary Spending,Offensive Line Spending,Cornerback Spending,Defensive Tackle Spending,Defensive End Spending,Linebacker Spending,Guard Spending,Quarterback Spending,Wide Receiver Spending,Tight End Spending,Inside Linebacker Spending,Tackle Spending,Safety Spending,Outside Linebacker Spending,Left Tackle Spending,Free Safety Spending,Special Teams Spending,Running Back Spending,Punter Spending,Strong Safety Spending,Kicker Spending,Center Spending,Right Tackle Spending,Long Snapper Spending,Fullback Spending,Defense Spending
2013,Arizona Cardinals,10,6,0,379,324,3,41.68,18.24,10.8,15.89,8.43,2.91,15.33,9.94,8.83,5.14,12.61,3.63,6,3.4,2.37,3.94,0.81,1.42,,4.42,1.31,0.34,1.71,3.66,2.59,0.91,,38.98
2013,Atlanta Falcons,4,12,0,353,443,2.9,46.92,9.24,13.53,13.32,7.59,7.54,1.7,12.72,7.55,8.1,14.24,5.68,3.28,4.67,5.94,9.44,2.55,0.02,,4.86,0.47,3.53,2.42,1.28,1.93,0.39,0.72,35.49
2013,Baltimore Ravens,8,8,0,320,352,-1.5,36.55,16.51,11.61,14.8,6.49,14.64,1.86,18.7,6.42,5.77,6.33,3.1,3.93,7.53,5.11,14.77,6.31,2.45,,5.06,1.96,2.47,0.38,0.85,1.22,0.59,1.49,46.82
2013,Buffalo Bills,6,10,0,339,388,-0.1,36.2,25.19,15.06,12.55,5.89,14.43,10.77,5.46,2.85,4.27,7.8,4.32,0.93,4.54,9.17,4.53,1.56,6.85,,6.65,0.34,1.83,0.79,5.17,2.98,0.92,0.61,45.71
2013,Carolina Panthers,12,4,0,366,241,1.4,45.97,15.1,8.93,14.35,3.3,4.6,10.5,11.14,4.58,6.79,10.71,4.41,3.2,3.22,5.63,7.94,2.15,1.4,,7.63,0.45,3.66,0.65,6.54,1.07,0.78,2.09,35.17
2013,Chicago Bears,8,8,0,445,478,-2.1,41.87,10.34,14.93,8.34,12.01,9.04,1.29,23.03,4.92,8.91,13.1,2.02,3.1,1.74,2.92,19.93,0.57,0.55,,8.87,1.36,1.62,2.79,1.68,1.17,0.82,0.62,48.3
2013,Cincinnati Bengals,11,5,0,430,305,-2.5,34.62,30.95,17.28,16.75,12.33,11.63,19.32,6.29,2.72,2.17,7.23,3.48,3.2,11.02,4.95,2.59,6.98,3.67,,4.53,2.14,0.92,1.26,3.01,4.04,1.05,0.46,54.01
2013,Cleveland Browns,4,12,0,308,406,-1.6,30.47,17.07,10.73,19.15,8.73,6.48,10.58,16.74,4.35,3.36,4.61,1.59,6.36,11.07,2,10.37,9.63,0.58,,1.77,0.33,1.23,0.77,4.05,1.12,0.85,,44.53
2013,Dallas Cowboys,8,8,0,439,432,-1.1,41.56,4.37,13.89,16.62,10.8,1.56,2.81,23.61,1.87,11.8,6.31,4.8,1.99,10.04,3.1,21.62,2.91,0.82,,1.93,0.47,1.75,0.47,4.71,7.13,0.84,0.11,41.88
2013,Denver Broncos,13,3,0,606,399,-1.6,49.95,9.05,17.6,19.13,11.62,5.17,3.88,9.74,6.57,14.07,6.95,6.02,5.82,11.38,5.98,3.92,10.22,1.36,,3.77,1.5,2.77,2.49,1.18,1.16,0.36,,36.39
2013,Detroit Lions,7,9,0,395,376,-2.8,49.61,17.5,9.07,11.23,4.23,12.23,5.27,9.99,3.96,17.98,12.58,3.67,4.42,3.78,4.84,5.57,1.51,2.72,,3.33,0.37,0.86,0.52,3.5,2.26,0.52,0.81,36.56
2013,Green Bay Packers,8,7,1,417,428,-2.4,47.04,13.67,15.73,14.49,11.53,11.35,2.32,17.43,7.79,10.46,8.41,9.49,9.37,5.19,4.2,8.06,0.43,,,2.04,0.91,3.74,1.94,1.51,4.77,0.68,2.15,46.83
2013,Houston Texans,2,14,0,276,428,1.9,51.61,12.45,19.38,15.09,13.51,1.12,11.33,9,4.18,9.49,12.61,5.68,5.72,5.6,5.86,3.28,4.8,0.33,,7.92,1.08,0.96,0.36,5.31,0.8,0.56,0.81,40.82
2013,Indianapolis Colts,11,5,0,391,337,0.6,42.22,9.95,17.33,17.9,7.44,1.64,8.3,16.16,4.98,6.61,9.71,1.8,3.08,9.53,9.89,13.08,1.76,0.49,,5.49,2.31,4.46,2.63,3.39,7.77,0.37,0.71,43.44
2013,Jacksonville Jaguars,4,12,0,247,449,1.5,38.27,11.39,5.15,11.9,2.6,6.64,4.76,11.32,6.19,6.93,5.65,5.94,7.39,3.66,2.55,3.93,3.2,0.4,,7.44,0.56,1.79,2.73,2.05,0.46,0.34,0.4,27.86
2013,Kansas City Chiefs,11,5,0,430,305,-1.7,36.7,10.15,19.45,15.42,9.41,2.3,7.85,16.64,3.78,7.9,5.36,2.6,3.4,10.93,10.03,13.24,10.72,9.21,,5,1.37,0.82,1.09,0.71,0.21,0.42,0.41,46.24
2013,Miami Dolphins,8,8,0,317,335,0.3,36.51,24.74,16.3,16.46,11.32,6.67,18.07,8.02,7.02,5.21,7.77,5.35,1.69,7.04,4.98,6.33,1.83,2.88,,1.72,1.46,2.1,0.39,2.4,5.21,0.97,,49.05
2013,Minnesota Vikings,5,10,1,391,480,-1.1,48.22,28.03,7.92,15.84,3.48,6.72,21.31,10.2,4.31,7.11,7.56,3.57,1.53,7.73,4.43,8.67,3.5,1.26,,12.03,0.35,2.71,0.4,3.79,4.23,0.82,2.12,46.14
2013,New England Patriots,12,4,0,444,338,-0.7,43.26,16.51,12.88,18.21,6.91,11.92,4.59,10.23,11.28,11.8,7.16,3.35,6.76,6.11,5.97,3.47,3.21,2.67,,2.35,0.33,0.44,2.75,0.82,2.91,0.45,0.39,39.62
2013,New Orleans Saints,11,5,0,414,304,1.9,49.25,7.9,17.42,14.48,9.39,3.52,4.38,18.06,9.23,14.67,9.41,2.86,7.94,3.62,8.03,9.63,1.16,3.7,,7.38,1.57,4.33,0.05,1.63,2.46,0.61,0.45,42.89
2013,New York Giants,7,9,0,294,383,0.2,49.4,14.47,18.58,18.81,8.7,2.61,11.86,7.69,9.51,17.09,6.74,2.33,5.69,5.2,9.87,2,2.76,0.35,,3.59,1.42,9.52,0.48,4.1,2.45,0.81,0.84,40.74
2013,New York Jets,8,8,0,290,387,0,46.28,4.64,13.37,17.63,11.28,1.43,3.21,15.86,2.87,12.5,10.28,2.12,12.24,6.84,2.09,3.62,5.18,0.39,,3.4,0.29,0.41,0.51,7.92,1.66,0.57,0.34,33.87
2013,Oakland Raiders,4,12,0,322,453,0.2,25.67,5.4,11.06,8.45,5.5,2.17,3.23,6.33,3,0.33,3.94,1.34,3.52,3.53,5.56,2.81,2.03,,,9.68,0.33,4.67,4.08,1.92,1.51,0.93,1.92,22.79
2013,Philadelphia Eagles,10,6,0,442,382,-1.9,58.2,4.64,10.2,20.16,4.75,2.29,2.36,15.43,6.78,10.55,15.12,4.34,7.87,12.55,5.45,7.56,8.73,1.9,,4.87,0.49,3.55,0.52,0.83,3.82,0.82,3.16,30.27
2013,Pittsburgh Steelers,8,8,0,379,370,-2.5,40.53,10.57,20.3,9.58,7.07,1.99,8.58,17.52,3.79,12.27,8.93,7.34,7.62,3.15,13.23,9.85,2.44,0.38,,2.03,0.23,0.89,1.4,2.65,0.7,0.49,0.38,48.34
